tweet_id,conversation_id,created_at,created_at_date,author_id,author_username,lang,text_raw,like_count,reply_count,repost_count,quote_count,bookmark_count,impression_count,query_used,query_label,tweet_url
1971212309063471442,1971212309063471442,2025-09-25T13:56:52Z,2025-09-25,1472147956757270528,AH27802154,in,"Bak Mobil Terbuka, Puluhan Ompreng   
atau Food Tray MBG Berserakan 
di Jalan Mesuji, Lampung, 
Selasa (23/9/2025)

Peristiwa itu terjadi di Simpang Mangga, 
Kecamatan Mesuji Timur, Lampung. 

Terlihat seorang pria mengumpulkan 
ompreng yang berceceran. https://t.co/b3SEb0kD0N",0,0,0,0,0,43,"(""food tray MBG"" OR ""tray MBG"" OR ""wadah MBG"" OR ""tempat makan MBG"" OR ""ompreng MBG"")",umum_tray_mbg,https://x.com/AH27802154/status/1971212309063471442
1970860704937992253,1970860704937992253,2025-09-24T14:39:43Z,2025-09-24,887743587579944960,OposisiCerdas,in,"Viral! Pencuci Tray MBG Unboxing Gaji Pertama Sampai Terharu, Netizen: Lebih Besar dari Guru Honorer https://t.co/5Va5QFXJwZ",17,1,15,0,0,1446,"(""food tray MBG"" OR ""tray MBG"" OR ""wadah MBG"" OR ""tempat makan MBG"" OR ""ompreng MBG"")",umum_tray_mbg,https://x.com/OposisiCerdas/status/1970860704937992253
1979021825100185743,1979021825100185743,2025-10-17T03:09:06Z,2025-10-17,1317307306728509441,giuseppinamnd,in,drama ompreng MBG ilang 🙂,11,4,0,0,0,679,"(""food tray MBG"" OR ""tray MBG"" OR ""wadah MBG"" OR ""tempat makan MBG"" OR ""ompreng MBG"")",umum_tray_mbg,https://x.com/giuseppinamnd/status/1979021825100185743
1978317467769508259,1978317467769508259,2025-10-15T04:30:14Z,2025-10-15,1747427035470045185,KhalidaNaf67403,in,Food Tray MBG wajib bersertifikat halal https://t.co/E6pd0uNQRy,0,0,0,0,0,1,"(""food tray MBG"" OR ""tray MBG"" OR ""wadah MBG"" OR ""tempat makan MBG"" OR ""ompreng MBG"")",umum_tray_mbg,https://x.com/KhalidaNaf67403/status/1978317467769508259
1971100781056332251,1971100781056332251,2025-09-25T06:33:42Z,2025-09-25,3277108561,tusukancilok,in,"habis gini tugas guru bertambah 1 yakni ""ngitung ompreng mbg""",1,2,0,0,0,244,"(""food tray MBG"" OR ""tray MBG"" OR ""wadah MBG"" OR ""tempat makan MBG"" OR ""ompreng MBG"")",umum_tray_mbg,https://x.com/tusukancilok/status/1971100781056332251
1970406519956217939,1970406519956217939,2025-09-23T08:34:57Z,2025-09-23,10114952,adarwis,in,"Hasil uji coba lab di China, Food tray MBG terbukti berlapis minyak babi https://t.co/X107dUEZIg",432,40,203,17,29,40457,"(""food tray MBG"" OR ""tray MBG"" OR ""wadah MBG"" OR ""tempat makan MBG"" OR ""ompreng MBG"")",umum_tray_mbg,https://x.com/adarwis/status/1970406519956217939
1967884894853599525,1967884894853599525,2025-09-16T09:34:55Z,2025-09-16,219527452,suaramerdeka,in,"Fraksi PPP DPRD Jawa Tengah mendesak pemerintah pusat dalam hal ini BGN transparan dalam menuntaskan persoalan ompreng MBG yang dicurigai mengandung unsur babi.

https://t.co/UW3sxN6ng1

#suaramerdeka #suaramerdekacom #suaramerdekanetwork
#ompreng #mbg #bpom #jaminkehalalan https://t.co/TPU961b3Ju",1,0,0,0,0,301,"(""food tray MBG"" OR ""tray MBG"" OR ""wadah MBG"" OR ""tempat makan MBG"" OR ""ompreng MBG"")",umum_tray_mbg,https://x.com/suaramerdeka/status/1967884894853599525
1980236305897513307,1980236305897513307,2025-10-20T11:35:00Z,2025-10-20,1428002673815482369,AiraNtiePuspa,in,"Guru skrg, selain hrs jago ngiket food tray MBG jg wajib punya skill Damkar😂😂😂
Kok bisa sii bocil ciwi ini nyangkut, mana permen nya ga dilepas pulaakk😂 https://t.co/Mn0LW9wqYy",49,8,10,0,2,20412,"(""food tray MBG"" OR ""tray MBG"" OR ""wadah MBG"" OR ""tempat makan MBG"" OR ""ompreng MBG"")",umum_tray_mbg,https://x.com/AiraNtiePuspa/status/1980236305897513307
1983913154426868015,1983836546206986500,2025-10-30T15:05:29Z,2025-10-30,766018910470676484,Atlhaitham,in,"@BuraiYami Sedotan fore @ihuaru
Tempe pak gembus @Bonajadie
Food tray mbg @yasmato https://t.co/TsV5UVkTvF",0,0,0,3,0,419,"(""food tray MBG"" OR ""tray MBG"" OR ""wadah MBG"" OR ""tempat makan MBG"" OR ""ompreng MBG"")",umum_tray_mbg,https://x.com/Atlhaitham/status/1983913154426868015
1975754742950158541,1975754742950158541,2025-10-08T02:46:53Z,2025-10-08,834268510939287552,ApriliaLin,in,"1 M ompreng #MBG yang sudah di bagikan bukanlah kegagalan.

Kalo ada kekurangan namanya juga program baru di Indonesia.. di evaluasi, perbaiki. 
Jangan hanya karena sentimen politik minta di hapus. https://t.co/LqlQwI5HoJ",12,2,6,0,1,564,"(""food tray MBG"" OR ""tray MBG"" OR ""wadah MBG"" OR ""tempat makan MBG"" OR ""ompreng MBG"")",umum_tray_mbg,https://x.com/ApriliaLin/status/1975754742950158541
1973949420527054954,1973949420527054954,2025-10-03T03:13:10Z,2025-10-03,1956873330126196736,wahyudira023,in,"Proses pencucian alat masak dan ompreng atau food tray MBG dilakukan dengan membersihkan sisa makanan hingga memanaskannya di dalam oven.
dukung terus program mbg ini 
Kontribusi Wujudkan Visi
#DukunganProgramPemerintah https://t.co/ZlJMF9nWoN",0,0,0,0,0,17,"(""food tray MBG"" OR ""tray MBG"" OR ""wadah MBG"" OR ""tempat makan MBG"" OR ""ompreng MBG"")",umum_tray_mbg,https://x.com/wahyudira023/status/1973949420527054954
1980021091692327076,1979125240681635880,2025-10-19T21:19:49Z,2025-10-19,401322611,hi_danti,in,"@andrew_mnhtns @lobaKaheureui @tempodotco Apa yg bisa diharapkan dari kelompok yg anggotanya pernah bilang kalo food tray MBG yg dari babi itu halal digunakan, asal udah dicuci 🧐
Entah lah bu**er yg ini mau nutupin kasus yg mana, atau mau ada kasus apa kedepannya. Tapi rasanya reaksinya terlalu berlebihan",4,0,0,0,0,169,"(""food tray MBG"" OR ""tray MBG"" OR ""wadah MBG"" OR ""tempat makan MBG"" OR ""ompreng MBG"")",umum_tray_mbg,https://x.com/hi_danti/status/1980021091692327076
1971445004418810131,1971445004418810131,2025-09-26T05:21:31Z,2025-09-26,1467057525447020544,sundastruggle,in,lalaki muslim anu bieu teu jumaahan beungeutna siga wadah mbg,616,70,160,14,19,29434,"(""food tray MBG"" OR ""tray MBG"" OR ""wadah MBG"" OR ""tempat makan MBG"" OR ""ompreng MBG"")",umum_tray_mbg,https://x.com/sundastruggle/status/1971445004418810131
1971547998288294143,1971547998288294143,2025-09-26T12:10:47Z,2025-09-26,731393598797701125,NAWACIT4,in,"Menperin Akan Terapkan Aturan SNI Food Tray MBG, Simak Jadwalnya https://t.co/Dyq3WO99jk lewat @nawacit4",0,0,0,0,0,7,"(""food tray MBG"" OR ""tray MBG"" OR ""wadah MBG"" OR ""tempat makan MBG"" OR ""ompreng MBG"")",umum_tray_mbg,https://x.com/NAWACIT4/status/1971547998288294143
1968918738356314159,1968918738356314159,2025-09-19T06:03:02Z,2025-09-19,888318006979252225,KlikSoloNews,in,"Presiden Prabowo Tanyakan Isu Minyak Babi dalam Food Tray MBG, Begini Jawaban Badan Gizi Nasional

https://t.co/YuOI4OOPaZ",0,0,0,0,0,45,"(""food tray MBG"" OR ""tray MBG"" OR ""wadah MBG"" OR ""tempat makan MBG"" OR ""ompreng MBG"")",umum_tray_mbg,https://x.com/KlikSoloNews/status/1968918738356314159
1972589193772834967,1972589193772834967,2025-09-29T09:08:07Z,2025-09-29,1318833612821725184,IDNTimesBanten,in,"Viral Video Ompreng MBG Tercampur Limbah di Lebak, SPPG Akui Kelalaian https://t.co/nBEeCHzWUF",0,0,0,0,0,47,"(""food tray MBG"" OR ""tray MBG"" OR ""wadah MBG"" OR ""tempat makan MBG"" OR ""ompreng MBG"")",umum_tray_mbg,https://x.com/IDNTimesBanten/status/1972589193772834967
1983781321194328255,1983781321194328255,2025-10-30T06:21:38Z,2025-10-30,121640063,RadioElshinta,in,"Kerja Cuci Ompreng MBG, Mantan Tukang Las Keliling Kini Bisa Rutin Kirim Uang ke Orang Tua dan Beli Motor",113,175,26,60,15,46357,"(""food tray MBG"" OR ""tray MBG"" OR ""wadah MBG"" OR ""tempat makan MBG"" OR ""ompreng MBG"")",umum_tray_mbg,https://x.com/RadioElshinta/status/1983781321194328255
1973955273166643569,1973955273166643569,2025-10-03T03:36:26Z,2025-10-03,771847726568996865,Beculsa,in,"Proses pencucian alat masak dan ompreng atau food tray MBG dilakukan dengan membersihkan sisa makanan hingga memanaskannya di dalam oven.
semoga kedepannya bisa lebih baik lagi
Kontribusi Wujudkan Visi
#DukunganProgramPemerintah https://t.co/v09WlD1xAV",0,0,0,0,0,21,"(""food tray MBG"" OR ""tray MBG"" OR ""wadah MBG"" OR ""tempat makan MBG"" OR ""ompreng MBG"")",umum_tray_mbg,https://x.com/Beculsa/status/1973955273166643569
2042398511132709049,2042366660640981372,2026-04-10T00:25:25Z,2026-04-10,1674756966,thursdayspell,in,"@bamnaytuan Ponakanku juga gitu 😭
Dia tiap hari tetep bawa bekel dari tetehku, wadahnya dibuat wadah MBG dibawa pulang.",0,1,0,0,0,15,"(""food tray MBG"" OR ""tray MBG"" OR ""wadah MBG"" OR ""tempat makan MBG"" OR ""ompreng MBG"")",umum_tray_mbg,https://x.com/thursdayspell/status/2042398511132709049
1980790626083131783,1980790626083131783,2025-10-22T00:17:41Z,2025-10-22,1251824880967774208,Heraloebss,in,"KEBERSAMAAN DALAM SEBUAH OMPRENG MBG

Di tengah hiruk-pikuk sekolah, program Makan Bersama (MBG) bukan sekadar rutinitas harian",10,3,5,2,1,5880,"(""food tray MBG"" OR ""tray MBG"" OR ""wadah MBG"" OR ""tempat makan MBG"" OR ""ompreng MBG"")",umum_tray_mbg,https://x.com/Heraloebss/status/1980790626083131783
1976414660833530240,1975995866516508967,2025-10-09T22:29:09Z,2025-10-09,1757797983012499456,guguguggaa,in,@ziziiyyy Sekilas kirain tray MBG 🤣,0,1,0,0,0,130,"(""food tray MBG"" OR ""tray MBG"" OR ""wadah MBG"" OR ""tempat makan MBG"" OR ""ompreng MBG"")",umum_tray_mbg,https://x.com/guguguggaa/status/1976414660833530240
1976245350697713739,1975794215595753817,2025-10-09T11:16:23Z,2025-10-09,1716101726263242752,Schuwandi19,in,@Homo_sapiens21 Serius? Itu tempat makan MBG ada sertifikat halalnya nggal Haikal?,1,0,0,0,0,53,"(""food tray MBG"" OR ""tray MBG"" OR ""wadah MBG"" OR ""tempat makan MBG"" OR ""ompreng MBG"")",umum_tray_mbg,https://x.com/Schuwandi19/status/1976245350697713739
1975940856722137473,1975924455223521397,2025-10-08T15:06:26Z,2025-10-08,1720665183188922368,grok,in,"Benar, food tray MBG awalnya impor dari China (dikonfirmasi BPJPH pas cek halal di sana, bebas kandungan babi). Tapi pemerintah lagi dorong produksi lokal lewat penghapusan izin impor bahan baku, biar UMKM bisa bersaing (sumber: https://t.co/26jd4acFBI, Juli 2025). Kemandirian emang proses, ini langkah awal. Kamu punya contoh lain?",0,1,0,0,0,68,"(""food tray MBG"" OR ""tray MBG"" OR ""wadah MBG"" OR ""tempat makan MBG"" OR ""ompreng MBG"")",umum_tray_mbg,https://x.com/grok/status/1975940856722137473
1975771441124778231,1975758047495790736,2025-10-08T03:53:14Z,2025-10-08,4228599672,im_soek,in,@ARSIPAJA Tray MBG gmn tuh,0,0,0,0,0,30,"(""food tray MBG"" OR ""tray MBG"" OR ""wadah MBG"" OR ""tempat makan MBG"" OR ""ompreng MBG"")",umum_tray_mbg,https://x.com/im_soek/status/1975771441124778231
1975407125720625442,1975157202249040192,2025-10-07T03:45:34Z,2025-10-07,1835228761958367238,albert54769,in,"@03__nakula @grok klu tdk salah, nampan atau wadah MBG import dari cina ditengarai materialnya mengandung minyak babi. Bisakah diaudit materialnya scr forensik, apakah mengandung minyak babi? Siapa ahlinya? (ahli kimia atau...?).",0,2,0,0,0,29,"(""food tray MBG"" OR ""tray MBG"" OR ""wadah MBG"" OR ""tempat makan MBG"" OR ""ompreng MBG"")",umum_tray_mbg,https://x.com/albert54769/status/1975407125720625442
1975405188283572689,1975103859422003272,2025-10-07T03:37:52Z,2025-10-07,1952389042878005248,Rynshhdj,in,@KangManto123 Ngomong kok suka ngawur!!! Pentungin wadah mbg aj!!,0,0,0,0,0,12,"(""food tray MBG"" OR ""tray MBG"" OR ""wadah MBG"" OR ""tempat makan MBG"" OR ""ompreng MBG"")",umum_tray_mbg,https://x.com/Rynshhdj/status/1975405188283572689
1975371230661517379,1975371230661517379,2025-10-07T01:22:56Z,2025-10-07,775909968,uuusyyyy,in,"Kalau food tray MBG produksi Cina dalam proses pembuatannya butuh minyak babi, bukankah tidak menutup kemungkinan kotak-kotak bekal stainless lainnya yang dari Cina juga pakai minyak babi?",1,0,0,0,0,32,"(""food tray MBG"" OR ""tray MBG"" OR ""wadah MBG"" OR ""tempat makan MBG"" OR ""ompreng MBG"")",umum_tray_mbg,https://x.com/uuusyyyy/status/1975371230661517379
1975245051975639525,1975245051975639525,2025-10-06T17:01:33Z,2025-10-06,340287924,punotdead,en,"The only correct way to use tray MBG

https://t.co/i6NPimgS1c",6,0,2,0,2,356,"(""food tray MBG"" OR ""tray MBG"" OR ""wadah MBG"" OR ""tempat makan MBG"" OR ""ompreng MBG"")",umum_tray_mbg,https://x.com/punotdead/status/1975245051975639525
1974997605412384837,1974997605412384837,2025-10-06T00:38:17Z,2025-10-06,1540721058365730816,FazaUlfa1,in,"Jujur aja, liat tray MBG hari ini bikin iri. Bakso + mie kuning + susu, duh kalo sekolah dulu ada gini mah seneng banget 👏. https://t.co/PfgEZDQwmR",0,1,0,0,0,63,"(""food tray MBG"" OR ""tray MBG"" OR ""wadah MBG"" OR ""tempat makan MBG"" OR ""ompreng MBG"")",umum_tray_mbg,https://x.com/FazaUlfa1/status/1974997605412384837
1974761872177209375,1974761872177209375,2025-10-05T09:01:34Z,2025-10-05,131712155,suryadelalu,in,Wadah MBG,1,0,1,0,0,225,"(""food tray MBG"" OR ""tray MBG"" OR ""wadah MBG"" OR ""tempat makan MBG"" OR ""ompreng MBG"")",umum_tray_mbg,https://x.com/suryadelalu/status/1974761872177209375
1974475819272860058,1974475819272860058,2025-10-04T14:04:53Z,2025-10-04,4777398914,hargocoid,in,"Kembali Sidak Dapur SPPG, Wagub Idah Tekankan Aspek Kebersihan Food Tray MBG https://t.co/qhrCyJRbub #GorontaloMajudanSejahtera",0,0,0,0,0,20,"(""food tray MBG"" OR ""tray MBG"" OR ""wadah MBG"" OR ""tempat makan MBG"" OR ""ompreng MBG"")",umum_tray_mbg,https://x.com/hargocoid/status/1974475819272860058
1974431518664835258,1974431120193372256,2025-10-04T11:08:51Z,2025-10-04,1823153224158728192,krisiparuhbaya,in,"@BudiBukanIntel Doi pikir buat parit untuk cuci tray mbg, shithead!",28,0,2,0,2,1854,"(""food tray MBG"" OR ""tray MBG"" OR ""wadah MBG"" OR ""tempat makan MBG"" OR ""ompreng MBG"")",umum_tray_mbg,https://x.com/krisiparuhbaya/status/1974431518664835258
1974403664195571944,1974379746147643721,2025-10-04T09:18:10Z,2025-10-04,268687443,Indonesiaguyub,in,"@DivHumas_Polri Satu lagi yang sangat penting di evaluasi. Tray tempat makan MBG itu harusnya ada ventilasi udara nya. Sehingga nasi dimasak jam 2 pagi, disajikan jam 12 siang, tidak basi dan berair (berlendir). Mau sanitasi bagaimanapun, kalau tray nya model spt itu, potensi basi tetap besar.",2,0,0,0,0,544,"(""food tray MBG"" OR ""tray MBG"" OR ""wadah MBG"" OR ""tempat makan MBG"" OR ""ompreng MBG"")",umum_tray_mbg,https://x.com/Indonesiaguyub/status/1974403664195571944
1974376758679065071,1974076317567234065,2025-10-04T07:31:16Z,2025-10-04,1005082038,lumineather95,in,@Mdy_Asmara1701 oalah ompreng tuh tempat makan mbg toh,0,1,0,0,0,773,"(""food tray MBG"" OR ""tray MBG"" OR ""wadah MBG"" OR ""tempat makan MBG"" OR ""ompreng MBG"")",umum_tray_mbg,https://x.com/lumineather95/status/1974376758679065071
1974061009150361997,1974061009150361997,2025-10-03T10:36:35Z,2025-10-03,1582972008479920129,BloombergTZ,in,"Soal Isu Minyak Babi, BPJPH Sebut Food Tray MBG Halal  https://t.co/6RmEUj9JyE",0,0,1,0,0,124,"(""food tray MBG"" OR ""tray MBG"" OR ""wadah MBG"" OR ""tempat makan MBG"" OR ""ompreng MBG"")",umum_tray_mbg,https://x.com/BloombergTZ/status/1974061009150361997
1973936529446961387,1973936529446961387,2025-10-03T02:21:57Z,2025-10-03,1411905276509253637,F4h7eza,in,SPPG Polri menerapkan sistem sanitasi ketat utk memastikan program MBG higienis. Proses pencucian alat masak dan ompreng atau food tray MBG dilakukan dgn membersihkan sisa makanan hingga memanaskannya di dalam oven. #LanjutkanMBG,1,1,0,0,0,285,"(""food tray MBG"" OR ""tray MBG"" OR ""wadah MBG"" OR ""tempat makan MBG"" OR ""ompreng MBG"")",umum_tray_mbg,https://x.com/F4h7eza/status/1973936529446961387
1973933197684846601,1973933197684846601,2025-10-03T02:08:42Z,2025-10-03,1307860511317352450,ExxaLatifa,in,SPPG Polri telah menerapkan sistem sanitasi ketat untuk memastikan program MBG higienis. Proses pencucian alat masak dan ompreng atau food tray MBG dilakukan dengan membersihkn sisa makanan hingga memanaskannya di dalam oven. #LanjutkanMBG,1,0,0,0,0,474,"(""food tray MBG"" OR ""tray MBG"" OR ""wadah MBG"" OR ""tempat makan MBG"" OR ""ompreng MBG"")",umum_tray_mbg,https://x.com/ExxaLatifa/status/1973933197684846601
1973645522243297545,1973645522243297545,2025-10-02T07:05:35Z,2025-10-02,1501606510979256323,Duren___,in,"EMANG BGINI
Cara cuci food tray MBG??
Netizen pasti ngomel2... https://t.co/J9qAKjw0KS",110,28,54,2,3,3706,"(""food tray MBG"" OR ""tray MBG"" OR ""wadah MBG"" OR ""tempat makan MBG"" OR ""ompreng MBG"")",umum_tray_mbg,https://x.com/Duren___/status/1973645522243297545
1973620220452651017,1973560703249424729,2025-10-02T05:25:03Z,2025-10-02,87933287,rizalsimmint,in,@TirtoID Ndasmu loh nggilap ngiilap elek koyok food tray mbg,0,0,0,0,0,40,"(""food tray MBG"" OR ""tray MBG"" OR ""wadah MBG"" OR ""tempat makan MBG"" OR ""ompreng MBG"")",umum_tray_mbg,https://x.com/rizalsimmint/status/1973620220452651017
1973367898933739873,1973311370469974321,2025-10-01T12:42:25Z,2025-10-01,750716659,tyleastoire,in,"@upsydipsy Eh tapi bener loh, udah hampir seminggu anak-anak langsung pindahin makanan dari tray MBG ke wadah yang mereka bawa, udah pada ga mau makan itu. 😂",0,0,0,0,0,13,"(""food tray MBG"" OR ""tray MBG"" OR ""wadah MBG"" OR ""tempat makan MBG"" OR ""ompreng MBG"")",umum_tray_mbg,https://x.com/tyleastoire/status/1973367898933739873
1971542031848927537,1971542031848927537,2025-09-26T11:47:04Z,2025-09-26,50661546,adiwdj,in,"Mohon pendapat ahli. Apakah layak memasukkan Y*ku*lt pada ompreng MBG tertutup bersama makanan hangat? Padahal di suhu ruang hanya bertahan 4-10 jam.  Satu lagi, apakah produk tersebut dianggap sebagai pengganti susu? Setahu saya isinya probiotik, rendah protein, dan tinggi gula. https://t.co/gewedUcr4y",0,0,0,0,0,190,"((""food tray MBG"" OR ""tray MBG"" OR ""ompreng MBG"" OR ""wadah MBG"") AND (dingin OR panas OR hangat OR suhu OR basi OR ""cepat basi""))",isu_suhu,https://x.com/adiwdj/status/1971542031848927537
1975857668515565659,1975857668515565659,2025-10-08T09:35:52Z,2025-10-08,3318799742,akhyar_22,in,"Stainless Steel:

+: 
Mudah dibersihkan, 
Suhu makanan awet (lebih awet lagi kalau pake lunch bag)
-:
Harus dicuci abis makan entar jadi berbekas, 
Sebelum beli, cek dlu bahannya food grade ga (ingat, Ompreng MBG beracun + Minyak babi itu dari stainless steel)",117,0,19,1,28,36642,"((""food tray MBG"" OR ""tray MBG"" OR ""ompreng MBG"" OR ""wadah MBG"") AND (dingin OR panas OR hangat OR suhu OR basi OR ""cepat basi""))",isu_suhu,https://x.com/akhyar_22/status/1975857668515565659
1968921423012942265,1968843315228430546,2025-09-19T06:13:42Z,2025-09-19,353077662,_P0T4T0_,in,"@dewapuci @mbuntt Saya sampe tiap hari sebelom jam MBG dibagikan, udah sampai di sekolah anak. Lengkap bawa nasi lauk, ditambah kotak makan kosong. Setelah ompreng MBG dibagikan, saya suruh anak saya datang ke saya. Saya endus2 dulu, cicip dikit, cek daging dan sayurnya, ada yg aneh atau basi ga.",0,1,1,0,0,93,"((""food tray MBG"" OR ""tray MBG"" OR ""ompreng MBG"" OR ""wadah MBG"") AND (dingin OR panas OR hangat OR suhu OR basi OR ""cepat basi""))",isu_suhu,https://x.com/_P0T4T0_/status/1968921423012942265
1969808061926969371,1969745748490408271,2025-09-21T16:56:53Z,2025-09-21,1565707365735088128,andemha67,in,"@Anak__Ogi @DivHumas_Polri @Gerindra Harusnya ada mou antara dapur dan sekolah. Kl ada keracunan dapur bertangung jawab dan didenda 10 oer anak yg keracunan.
Trauma lho itu anak yg keracunan.
Lihat tray mbg aja entar sudah keringat dingin. Boro2 bisa menikmati",0,1,0,0,0,1612,"((""food tray MBG"" OR ""tray MBG"" OR ""ompreng MBG"" OR ""wadah MBG"") AND (dingin OR panas OR hangat OR suhu OR basi OR ""cepat basi""))",isu_suhu,https://x.com/andemha67/status/1969808061926969371
1971223491111494130,1971193992391033134,2025-09-25T14:41:18Z,2025-09-25,1075114354377256960,Rakha_boumi,in,"@ekakunjeri Seringnya dapat nasi yang basi,murid diwajibkan bawa wadah buat dibawa pulang asal wadah MBG bersih.",0,0,0,0,0,152,"((""food tray MBG"" OR ""tray MBG"" OR ""ompreng MBG"" OR ""wadah MBG"") AND (dingin OR panas OR hangat OR suhu OR basi OR ""cepat basi""))",isu_suhu,https://x.com/Rakha_boumi/status/1971223491111494130
1973284058403877150,1973284058403877150,2025-10-01T07:09:16Z,2025-10-01,1354802822282285072,Ote_Sibn,in,Ya Allah kuatkanlah pihak yang ngebukain wadah MBG basi punya temen gw🙏🙏🙏,0,0,0,0,0,6,"((""food tray MBG"" OR ""tray MBG"" OR ""ompreng MBG"" OR ""wadah MBG"") AND (dingin OR panas OR hangat OR suhu OR basi OR ""cepat basi""))",isu_suhu,https://x.com/Ote_Sibn/status/1973284058403877150
1970268980574331075,1969929640321175848,2025-09-22T23:28:25Z,2025-09-22,1572064228382769154,ekosaputro2404,in,"@Fafaakk @ARSIPAJA Jenengan habis masak masih panas langsung ditutup kayak wadah MBG tidak mbak jualannya? Atau di diamkan dulu sampai dingin baru ditutup wadah, jualan anda berapa pcs sehari?",0,1,0,0,0,2679,"((""food tray MBG"" OR ""tray MBG"" OR ""ompreng MBG"" OR ""wadah MBG"") AND (dingin OR panas OR hangat OR suhu OR basi OR ""cepat basi""))",isu_suhu,https://x.com/ekosaputro2404/status/1970268980574331075
1968912859389186372,1968891596646056240,2025-09-19T05:39:40Z,2025-09-19,1492076413452619778,metapros99,in,"@tanyarlfes Pernah liat postingan content creator yang dulu mantan burh pabrik sejenis food tray ini, dia jelasin cara pembuatan food tray salah satu tahap nya disiram dengan minyak yang panas, supaya ga lengket. Di case ini food tray MBG info nya dari Cina bukan dari UMKM.",0,1,0,0,0,1814,"((""food tray MBG"" OR ""tray MBG"" OR ""ompreng MBG"" OR ""wadah MBG"") AND (dingin OR panas OR hangat OR suhu OR basi OR ""cepat basi""))",isu_suhu,https://x.com/metapros99/status/1968912859389186372
